项目id	SKUid	SKU名称	SKUurl	项目匹配词	SKU关键词	SKU价格	SKU销量	相似度
740	1005266187	左麟右李 中国巡回金曲演唱会—北京站	http://item.jd.com/1005266187.html	音乐,开心麻花,爆笑,音乐剧,话剧,爷们儿,舞台,舞蹈,三只小猪,喜剧,剧场	梦境,LIFE,贝多芬,文行,越好,许巍,图兰朵,RELEASE,布鲁诺,生生不息,神圣,李伯男,广东,奇妙,香颂,POWER,DANCE,大连,可场,演出,克卜勒,中超联赛,萨克斯,萨特,百合,最爱,嘉兰古,午夜,丛林,奏鸣曲,周末,视觉,瑞内塔,滑稽戏,盛宴,小井,假日,母亲节,张信哲,节奏,中德,玫瑰,海沙,方大同,Up,许艺娜,相约,赖声川,雅乐,豆豆,姜亦,人艺,国家队,VON,洛夫,泥车,阿佐,外国,狐狸,乐坊,来自,王笑寒,STOP,天津站,中孝介,沙滩,看台,异域,月场,风波,埃尔加,水晶鞋,英伦,水立方,女将,小王子,维也纳,辉耀,流淌,洪羊洞,邓紫棋,hi,诗意,刘巧儿,狂想曲,Wall,伊索,精选,经典作品,盛原,Bodom,国家,组合式,塞尔维亚,夏之,德意志,阿肯,我心,托儿,勇闯,倾听,恋上,联合国,马其顿,大都,Wells,埃里,Five,雪条,宫崎骏,益智,Maria,春季,保留剧目,死亡,小黑猫,音画,雨人,四郎探母,天下第一,培养,冰舞,申鑫,绿野仙踪,爱琴海,高峰,地方戏,舒伯特	242.177517014	9749	0.392857142857
784	1105082382	卡通音响 毛绒玩具泰迪熊公仔DJ熊音箱 胎教音响 可插手机电脑 黑色 23厘米	http://item.jd.com/1105082382.html	胎教音响,音响,音箱	卡通,毛绒玩具,DJ,厘米,宏方,泰迪熊,机电,音箱,胎教音响,音响,插手,黑色,公仔	110.0	1	0.0681818181818
784	1111680135	好时达 魔音盒无线蓝牙音箱SD插卡音响 智能音箱HSD8012B	http://item.jd.com/1111680135.html	智能音箱,音响,音箱	智能音箱,男友,HSD8012B,HIGHSTAR,好时达（HIGHSTAR）,奢品,创意,礼物,好时达,魔音,父亲节,无线,音箱,闪耀,音响,蓝牙,插卡,SD	443.0	9	0.0681818181818
784	1112757536	好时达 智能可插卡音响 可爱卡通创意音箱 送儿童男女友生日礼物 创意礼品	http://item.jd.com/1112757536.html	智能音响,音响,智能,音箱	卡通,智能,HIGHSTAR,女友,UFO,HSD8009B,智能音响,好时达,巴克,创意礼品,可爱,可插卡,音箱,好时达（HIGHSTAR）,音响,创意,生日礼物,童男	319.0	3	0.0909090909091
784	1197436336	金东礼品 壁挂式CD音响 九代 cd音乐播放器 胎教音箱带FM 创意礼品 天蓝色 壁挂式CD音响	http://item.jd.com/1197436336.html	音乐,胎教音箱,音响	音乐,壁挂式,天蓝色,礼品,福轩,播放器,CD,胎教音箱,金东,九代,创意礼品,知福轩,cd,FM,音响	399.0	1	0.0681818181818
578	1004473	[备件条码:null]iHealth AM3健康智能腕表(苹果可穿戴手环，iphone/ipad 智能手表)	http://item.jd.com/1004473.html	智能,手环,健康	ipad,智能,误够,iHealth,取件,null,可穿戴,手表,腕表,iphone,手环,健康,AM3,备件,条码,苹果	267.469596462	928	0.075
578	1004820	幻响（i-mu） 智能手环 蓝牙4.0 进口钛合金纯手工打磨 运动睡眠管理 来电提醒 蓝牙防丢 远程自拍 S号	http://item.jd.com/1004820.html	远程,运动,来电提醒,睡眠	幻响,进口,来电提醒,误够,取件,null,打磨,蓝牙,mu,幻响（i-mu）,运动,纯手工,睡眠,钛合金,远程,备件,条码,智能手环,管理	446.121693122	183	0.1
578	1004832	幻响（i-mu） 智能手环 蓝牙4.0 进口钛合金纯手工打磨 运动睡眠管理 来电提醒 蓝牙防丢 远程自拍 M号	http://item.jd.com/1004832.html	远程,运动,来电提醒,睡眠	幻响,进口,来电提醒,误够,取件,null,打磨,蓝牙,mu,幻响（i-mu）,运动,纯手工,睡眠,钛合金,远程,备件,条码,智能手环,管理	407.967041199	511	0.1
578	1008360	体记忆 T9 白 智能手环腕带睡眠运动计步器防水可视 支持APP	http://item.jd.com/1008360.html	运动,防水,睡眠	T9,APP,防水,睡眠,记忆,运动,腕带,计步器,可视,智能手环,支持,体记忆	919.0	6	0.075
578	1008367	体记忆 T9 黑 智能手环腕带睡眠运动计步器防水可视 支持APP	http://item.jd.com/1008367.html	运动,防水,睡眠	T9,APP,防水,睡眠,记忆,运动,腕带,计步器,可视,智能手环,支持,体记忆	987.571428571	37	0.075
578	1009229	体记忆 T9 蓝 智能手环腕带睡眠运动计步器防水可视支持APP	http://item.jd.com/1009229.html	运动,防水,睡眠	T9,APP,防水,睡眠,记忆,运动,腕带,计步器,可视,智能手环,支持,体记忆	999.0	7	0.075
578	1012247733	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 黑色	http://item.jd.com/1012247733.html	运动,时尚,手环	缓解,饰品,泊莉恩（Noproblem）,手链,Noproblem,保健,P033,运动,颈椎,防辐射,手环,时尚,配件,手圈,户外,黑色,负离子,泊莉恩	148.0	8	0.075
578	1012247734	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 透粉	http://item.jd.com/1012247734.html	运动,时尚,手环	缓解,饰品,泊莉恩（Noproblem）,手链,Noproblem,保健,P033,运动,颈椎,防辐射,手环,时尚,配件,手圈,户外,透粉,负离子,泊莉恩	148.0	14	0.075
578	1012247735	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 透黑	http://item.jd.com/1012247735.html	运动,时尚,手环	缓解,饰品,泊莉恩（Noproblem）,手链,Noproblem,保健,P033,透黑,运动,颈椎,防辐射,手环,时尚,配件,手圈,户外,负离子,泊莉恩	148.0	28	0.075
578	1012247736	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 红色	http://item.jd.com/1012247736.html	运动,时尚,手环	缓解,饰品,泊莉恩（Noproblem）,红色,手链,Noproblem,保健,P033,运动,颈椎,防辐射,手环,时尚,配件,手圈,户外,负离子,泊莉恩	148.0	2	0.075
578	1012247737	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 蓝色	http://item.jd.com/1012247737.html	运动,时尚,手环	缓解,饰品,蓝色,手链,Noproblem,保健,P033,配件,运动,颈椎,防辐射,手环,时尚,泊莉恩（Noproblem）,手圈,户外,负离子,泊莉恩	148.0	9	0.075
578	1012247738	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 黄色	http://item.jd.com/1012247738.html	运动,时尚,手环	缓解,饰品,泊莉恩（Noproblem）,手链,Noproblem,保健,P033,运动,颈椎,防辐射,手环,时尚,配件,手圈,户外,黄色,负离子,泊莉恩	148.0	4	0.075
578	1012944797	泊莉恩 P065 钛.锗负离子时尚抗疲劳.运动健康手环 户外配件手链 防辐射保健饰品手链	http://item.jd.com/1012944797.html	时尚,运动,健康手环	饰品,泊莉恩（Noproblem）,手链,Noproblem,健康手环,保健,运动,P065,防辐射,时尚,配件,户外,抗疲劳,负离子,泊莉恩	980.0	17	0.075
578	1015679918	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 粉色 M	http://item.jd.com/1015679918.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,硅胶,休闲,克郎,时尚,粉色,克郎托天（Colantotte）,日本,运动,TRION,户外,巴西,托天	210.0	1	0.075
578	1015679920	克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯日本进口 浅蓝色 M	http://item.jd.com/1015679920.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,硅胶,日本,运动,TRION,户外,浅蓝色,巴西,托天	210.0	2	0.075
578	1015679921	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 浅蓝色 L	http://item.jd.com/1015679921.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,硅胶,日本,运动,TRION,户外,浅蓝色,巴西,托天	210.0	1	0.075
578	1015679922	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 红色 M	http://item.jd.com/1015679922.html	时尚,运动,手环	女士,进口,手环,红色,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,硅胶,日本,运动,TRION,户外,巴西,托天	210.0	2	0.075
578	1015679924	克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯日本进口 黄色 M	http://item.jd.com/1015679924.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,硅胶,日本,运动,TRION,户外,黄色,巴西,托天	210.0	1	0.075
578	1015679925	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 黄色 L	http://item.jd.com/1015679925.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,硅胶,日本,运动,TRION,户外,黄色,巴西,托天	210.0	1	0.075
578	1015679929	克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯日本进口 浅绿色 L	http://item.jd.com/1015679929.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,浅绿色,克郎,时尚,硅胶,日本,运动,TRION,户外,休闲,巴西,托天	210.0	1	0.075
578	1015679930	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 白色 M	http://item.jd.com/1015679930.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,白色,硅胶,日本,运动,TRION,户外,巴西,托天	210.0	1	0.075
578	1015679933	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 黑色 L	http://item.jd.com/1015679933.html	时尚,运动,手环	女士,进口,手环,手镯,磁石,Colantotte,保健,克郎托天（Colantotte）,休闲,克郎,时尚,硅胶,日本,运动,TRION,户外,黑色,巴西,托天	210.0	8	0.075
578	1015680739	克郎托天colantotte磁性钛糖果色运动健康时尚保健硅胶手环磁石男女防辐射手镯日本进口 浅蓝色 M	http://item.jd.com/1015680739.html	时尚,运动,手环,健康	colantotte,进口,手环,磁性,手镯,磁石,Colantotte,糖果色,保健,克郎托天（Colantotte）,克郎,时尚,硅胶,日本,健康,运动,男女,浅蓝色,防辐射,托天	490.0	1	0.1
578	1015680742	克郎托天colantotte磁性钛糖果色运动健康时尚保健硅胶手环磁石男女防辐射手镯日本进口 黑银色 M	http://item.jd.com/1015680742.html	时尚,运动,手环,健康	colantotte,进口,手环,磁性,手镯,磁石,Colantotte,糖果色,保健,克郎托天（Colantotte）,克郎,时尚,硅胶,日本,健康,银色,运动,男女,防辐射,托天	490.0	2	0.1
578	1015680743	克郎托天colantotte磁性钛糖果色运动健康时尚保健硅胶手环磁石男女防辐射手镯日本进口 黑银色 L	http://item.jd.com/1015680743.html	时尚,运动,手环,健康	colantotte,进口,手环,磁性,手镯,磁石,Colantotte,糖果色,保健,克郎托天（Colantotte）,克郎,时尚,硅胶,日本,健康,银色,运动,男女,防辐射,托天	490.0	1	0.1
578	1015680745	克郎托天colantotte磁性钛糖果色运动健康时尚保健硅胶手环磁石男女防辐射手镯日本进口 黑粉色 M	http://item.jd.com/1015680745.html	时尚,运动,手环,健康	colantotte,粉色,手环,磁性,手镯,磁石,Colantotte,糖果色,保健,克郎托天（Colantotte）,克郎,时尚,进口,托天,日本,健康,男女,硅胶,防辐射,运动	490.0	1	0.1
578	1015680748	克郎托天colantotte磁性钛糖果色运动健康时尚保健硅胶手环磁石男女防辐射手镯日本进口 橙色 M	http://item.jd.com/1015680748.html	时尚,运动,手环,健康	colantotte,进口,手环,磁性,男女,手镯,磁石,Colantotte,糖果色,保健,克郎托天（Colantotte）,克郎,时尚,硅胶,日本,健康,运动,橙色,防辐射,托天	490.0	1	0.1
578	1017759570	NBA 新款凹凸字 时尚篮球球星球迷硅胶手链 手镯手腕带 运动男款女款潮流手圈手环 湖人队科比Kobe	http://item.jd.com/1017759570.html	运动,时尚,手环	iPhone4,科比,女款,手环,男款,凹凸,硅胶,潮流,手机,运动,手圈,NBA,iPhone4S,篮球,球迷,古典,IP,泼墨,湖人队,新款,S13KB,保护,球星,系列,手镯,手链,时尚,保护套,Kobe,手腕带	53.4423076923	28	0.075
578	1017759571	NBA 新款凹凸字 时尚篮球球星球迷硅胶手链 手镯手腕带 运动男款女款潮流手圈手环 公牛队罗斯Rose	http://item.jd.com/1017759571.html	运动,时尚,手环	球迷,凹凸,球星,新款,Rose,篮球,罗斯,时尚,硅胶,潮流,手链,运动,女款,手环,手镯,公牛队,手圈,手腕带,NBA,男款	22.0	1	0.075
578	1017759572	NBA 新款凹凸字 时尚篮球球星球迷硅胶手链 手镯手腕带 运动男款女款潮流手圈手环 热火队韦德Wade	http://item.jd.com/1017759572.html	运动,时尚,手环	球迷,凹凸,球星,手环,手镯,篮球,NBA,时尚,硅胶,潮流,手链,运动,女款,新款,手圈,Wade,手腕带,韦德,热火队,男款	21.75	12	0.075
578	1018202741	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 热火队詹姆斯James	http://item.jd.com/1018202741.html	时尚,运动,手环	黄多色,球星,手链,礼品,James,篮球,手带,精美,运动,硅胶,热火队,手腕带,时尚,红蓝白,手环,手圈,NBA,盒装,礼物,詹姆斯	19.0	234	0.075
578	1018202742	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼 火箭队林书豪JeremyLi	http://item.jd.com/1018202742.html	时尚,运动,手环	礼物,黄多色,球星,篮球,手带,精美,运动,硅胶,盒装,手腕带,时尚,红蓝白,手环,火箭队,手圈,NBA,林书豪,手链,JeremyLi	19.0	51	0.075
578	1018202743	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 快船队保罗Paul	http://item.jd.com/1018202743.html	时尚,运动,手环	黄多色,球星,保罗,礼品,礼物,NBA,精美,运动,硅胶,快船队,手链,时尚,红蓝白,手环,手腕带,手圈,Paul,盒装,篮球,手带	19.0	87	0.075
578	1018202744	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物 凯尔特人队加内特Garnet	http://item.jd.com/1018202744.html	时尚,运动,手环	礼物,黄多色,球星,加内特,Garnet,篮球,手带,精美,运动,硅胶,手腕带,时尚,红蓝白,手环,手圈,NBA,凯尔特人,盒装,手链	19.0	20	0.075
578	1018202745	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 热火队韦德Wade	http://item.jd.com/1018202745.html	时尚,运动,手环	黄多色,球星,手链,礼品,韦德,礼物,手带,精美,运动,硅胶,热火队,手腕带,时尚,红蓝白,手环,手圈,Wade,NBA,盒装,篮球	19.0	85	0.075
578	1018202746	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 公牛队罗斯Rose	http://item.jd.com/1018202746.html	时尚,运动,手环	礼物,黄多色,球星,礼品,Rose,篮球,手带,罗斯,运动,硅胶,手链,时尚,红蓝白,手环,手腕带,公牛队,手圈,NBA,盒装,精美	19.0	67	0.075
578	1018202747	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 湖人队科比Kobe	http://item.jd.com/1018202747.html	运动,时尚,手环	篮球,科比,手环,礼物,硅胶,运动,百搭,球迷用品,手圈,NBA,男女,黄多色,盒装,湖人队,户外,球星,礼品,手链,手带,精美,时尚,红蓝白,Kobe,手腕带	19.0	268	0.075
578	1018202748	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 快船队格里芬Griffi	http://item.jd.com/1018202748.html	运动,时尚,手环	篮球,手环,礼物,硅胶,运动,百搭,球迷用品,手圈,NBA,格里芬,Griffi,黄多色,盒装,户外,球星,礼品,手链,手带,精美,快船队,时尚,红蓝白,手腕带,男女	19.0	22	0.075
578	1018202749	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 雷霆队杜兰特Durant	http://item.jd.com/1018202749.html	运动,时尚,手环	Durant,雷霆,篮球,手环,礼物,硅胶,运动,百搭,球迷用品,手圈,NBA,男女,黄多色,杜兰特,盒装,户外,球星,礼品,手链,手带,精美,时尚,红蓝白,手腕带	19.0	216	0.075
578	1018202750	NBA篮球球星 运动硅胶 手环手腕带手链 黑红蓝白黄多色时尚手圈手带 精美盒装礼物礼品 湖人队霍华德Howard	http://item.jd.com/1018202750.html	时尚,运动,手环	黄多色,球星,礼品,Howard,篮球,手带,精美,运动,硅胶,霍华德,手链,时尚,红蓝白,湖人队,手环,手腕带,手圈,NBA,盒装,礼物	19.0	10	0.075
