项目id	SKUid	SKU名称	SKU价格	SKU销量	相似度	创新	热销	智能	实用	价格参考	SKUurl
740	1005266187	左麟右李 中国巡回金曲演唱会—北京站	242.177517014	9749	0.392857142857	0.627727187625	0.507210623968	0.82	1.0	242.177517014	http://item.jd.com/1005266187.html
784	1105082382	卡通音响 毛绒玩具泰迪熊公仔DJ熊音箱 胎教音响 可插手机电脑 黑色 23厘米	110.0	1	0.0681818181818	0.86	0.0	0.38	0.62	110.0	http://item.jd.com/1105082382.html
784	1111680135	好时达 魔音盒无线蓝牙音箱SD插卡音响 智能音箱HSD8012B	443.0	9	0.0681818181818	0.74481962482	0.153830751092	0.44	0.56	443.0	http://item.jd.com/1111680135.html
784	1112757536	好时达 智能可插卡音响 可爱卡通创意音箱 送儿童男女友生日礼物 创意礼品	319.0	3	0.0909090909091	0.730256410256	0.110621763449	0.44	0.62	319.0	http://item.jd.com/1112757536.html
784	1197436336	金东礼品 壁挂式CD音响 九代 cd音乐播放器 胎教音箱带FM 创意礼品 天蓝色 壁挂式CD音响	399.0	1	0.0681818181818	0	0	0	0	0	http://item.jd.com/1197436336.html
578	1004473	[备件条码:null]iHealth AM3健康智能腕表(苹果可穿戴手环，iphone/ipad 智能手表)	267.469596462	928	0.075	0.55623845075	0.408957645972	0.0	0.0	267.469596462	http://item.jd.com/1004473.html
578	1004820	幻响（i-mu） 智能手环 蓝牙4.0 进口钛合金纯手工打磨 运动睡眠管理 来电提醒 蓝牙防丢 远程自拍 S号	446.121693122	183	0.1	0.380662177772	0.457019167444	0.54	0.72	446.121693122	http://item.jd.com/1004820.html
578	1004832	幻响（i-mu） 智能手环 蓝牙4.0 进口钛合金纯手工打磨 运动睡眠管理 来电提醒 蓝牙防丢 远程自拍 M号	407.967041199	511	0.1	0.380662177772	0.533189028685	0.54	0.72	407.967041199	http://item.jd.com/1004832.html
578	1008360	体记忆 T9 白 智能手环腕带睡眠运动计步器防水可视 支持APP	919.0	6	0.075	0.64473238948	0.107110216273	0.0	0.0	919.0	http://item.jd.com/1008360.html
578	1008367	体记忆 T9 黑 智能手环腕带睡眠运动计步器防水可视 支持APP	987.571428571	37	0.075	0.64473238948	0.214220432545	0.0	0.0	987.571428571	http://item.jd.com/1008367.html
578	1009229	体记忆 T9 蓝 智能手环腕带睡眠运动计步器防水可视支持APP	999.0	7	0.075	0.64473238948	0.107110216273	0.0	0.0	999.0	http://item.jd.com/1009229.html
578	1012247733	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 黑色	148.0	8	0.075	0.692357224622	0.145032417067	0.0	0.0	148.0	http://item.jd.com/1012247733.html
578	1012247734	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 透粉	148.0	14	0.075	0.698984525075	0.142663360964	0.0	0.0	148.0	http://item.jd.com/1012247734.html
578	1012247735	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 透黑	148.0	28	0.075	0.698984525075	0.190217814619	0.0	0.0	148.0	http://item.jd.com/1012247735.html
578	1012247736	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 红色	148.0	2	0.075	0.700593667558	0.046847898963	0.0	0.0	148.0	http://item.jd.com/1012247736.html
578	1012247737	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 蓝色	148.0	9	0.075	0.680652390143	0.147660680398	0.0	0.0	148.0	http://item.jd.com/1012247737.html
578	1012247738	泊莉恩 P033 负离子手环.缓解颈椎.防辐射 保健手圈 运动配件 户外时尚 饰品手链 黄色	148.0	4	0.075	0.699723430613	0.0947012836715	0.0	0.0	148.0	http://item.jd.com/1012247738.html
578	1012944797	泊莉恩 P065 钛.锗负离子时尚抗疲劳.运动健康手环 户外配件手链 防辐射保健饰品手链	980.0	17	0.075	0.761691919192	0.132667919541	0.0	0.0	980.0	http://item.jd.com/1012944797.html
578	1015679918	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 粉色 M	210.0	1	0.075	0.49587473242	0.0	0.0	0.0	210.0	http://item.jd.com/1015679918.html
578	1015679920	克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯日本进口 浅蓝色 M	210.0	2	0.075	0.497655319259	0.0681816742192	0.0	0.0	210.0	http://item.jd.com/1015679920.html
578	1015679921	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 浅蓝色 L	210.0	1	0.075	0.497655319259	0.0	0.0	0.0	210.0	http://item.jd.com/1015679921.html
578	1015679922	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 红色 M	210.0	2	0.075	0.519388113544	0.0663205556916	0.0	0.0	210.0	http://item.jd.com/1015679922.html
578	1015679924	克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯日本进口 黄色 M	210.0	1	0.075	0.518335428164	0.0	0.0	0.0	210.0	http://item.jd.com/1015679924.html
578	1015679925	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 黄色 L	210.0	1	0.075	0.518335428164	0.0	0.0	0.0	210.0	http://item.jd.com/1015679925.html
578	1015679929	克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯日本进口 浅绿色 L	210.0	1	0.075	0.516430287976	0.0	0.0	0.0	210.0	http://item.jd.com/1015679929.html
578	1015679930	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 白色 M	210.0	1	0.075	0.515776693205	0.0	0.0	0.0	210.0	http://item.jd.com/1015679930.html
578	1015679933	日本进口克郎托天TRION:Z磁石保健手环巴西进口硅胶户外休闲运动磁石时尚男女士保健手镯 黑色 L	210.0	8	0.075	0.521859041783	0.197730586502	0.0	0.0	210.0	http://item.jd.com/1015679933.html
578	1015680739	克郎托天colantotte磁性钛糖果色运动健康时尚保健硅胶手环磁石男女防辐射手镯日本进口 浅蓝色 M	490.0	1	0.1	0.39324987313	0.0	0.44	0.66	490.0	http://item.jd.com/1015680739.html
