项目id	指数类型	关键词	权重
740	xin	三只小猪,剧场,喜剧,开心麻花,爆笑,爷们儿,舞台,舞蹈,话剧,音乐,音乐剧	1
740	zhi	音乐	14.44
740	shi	音乐	206.84
740	oshi	梦境	2.64
740	oshi	LIFE	3.2
740	oshi	生生不息	0.0
740	oshi	神圣	0.08
740	oshi	奇妙	5.44
740	oshi	POWER	16.36
740	oshi	演出	1.28
740	oshi	三春	0.12
740	oshi	历史	5.88
740	oshi	桂冠	0.0
740	ozhi	城市	4.36
740	oshi	城市	15.04
740	oshi	进行曲	0.48
740	oshi	多瑙河	0.6
740	ozhi	密码	3.4
740	oshi	密码	109.68
740	oshi	化身	0.12
740	oshi	乐音	2.88
740	ozhi	简约	0.4
740	oshi	简约	440.64
740	oshi	王者	1.84
740	ozhi	空中	0.24
740	oshi	空中	7.12
740	oshi	卡车	1.96
740	oshi	MAN	0.36
740	oshi	曾经	0.24
740	oshi	罗曼史	0.24
740	oshi	岁月	1.68
740	oshi	军魂	0.24
740	ozhi	纪念版	1.92
740	oshi	纪念版	3.68
740	oshi	步步	0.36
740	oshi	星夜	13.16
740	oshi	小天使	9.04
740	oshi	红军	0.12
740	ozhi	体验	0.24
740	oshi	体验	18.32
740	oshi	传奇	4.52
740	ozhi	系列	14.88
740	oshi	系列	4305.72
740	oshi	音乐会	0.28
740	oshi	模范	0.84
740	ozhi	彩虹	1.92
740	oshi	彩虹	130.04
740	oshi	公益	0.72
740	oshi	环游世界	0.16
740	ozhi	一直	0.08
740	oshi	一直	3.52
740	ozhi	创意	4.4
740	oshi	创意	1432.8
740	oshi	金星	0.4
740	oshi	武汉	0.12
740	oshi	重磅	1.4
740	oshi	回味	0.12
740	oshi	鸟巢	0.76
740	ozhi	中心	0.12
740	oshi	中心	20.72
740	ozhi	森林	0.0
740	oshi	森林	28.28
740	oshi	苏打	1.56
740	ozhi	酷酷	0.12
740	oshi	酷酷	16.64
740	oshi	冠军	6.76
740	ozhi	独家	1.04
740	oshi	独家	58.96
740	oshi	澳洲	38.88
740	oshi	Eason	0.56
740	ozhi	天才	0.0
740	oshi	天才	16.88
740	oshi	剧院	0.24
740	oshi	一滴水	0.2
740	oshi	动漫	15.48
740	oshi	佛山	0.0
740	ozhi	数码	12.44
740	oshi	数码	61.52
740	oshi	奥妙	43.72
740	oshi	唯美	45.2
740	oshi	魔幻	20.24
740	oshi	三宝	2.0
740	ozhi	生命	0.92
740	oshi	生命	1.6
740	oshi	国庆	0.16
740	oshi	一大	11.08
740	ozhi	熊猫	0.4
740	oshi	熊猫	67.68
740	ozhi	空间	0.16
740	oshi	空间	87.88
740	ozhi	喜羊羊	0.24
740	oshi	喜羊羊	32.84
740	oshi	III	12.36
740	oshi	忧郁	3.4
740	oshi	教师	3.48
740	oshi	巅峰	0.24
740	oshi	青石	0.0
740	oshi	滚石	0.08
740	ozhi	趣味	0.8
740	oshi	趣味	31.04
740	oshi	口琴	0.32
740	oshi	冰川	0.72
740	oshi	枕头	12.8
740	oshi	卡门	0.28
740	ozhi	京东	3.48
740	oshi	京东	1125.04
740	oshi	西游记	0.12
740	oshi	学院	4.68
740	oshi	情人	8.36
740	ozhi	节日	1.68
740	oshi	节日	12.92
740	oshi	小丑	2.8
740	oshi	海洋	59.24
740	oshi	风暴	3.76
740	oshi	底层	0.16
740	oshi	古风	1.56
740	oshi	永不	24.84
740	oshi	萌系	3.2
740	ozhi	玩转	0.48
740	oshi	玩转	0.28
740	oshi	心灵	1.08
740	oshi	梦游	1.92
740	oshi	比尔	0.0
740	oshi	诱惑	27.04
740	oshi	夏天	56.16
740	oshi	怀念	0.0
740	oshi	全国	16.56
740	ozhi	王子	0.12
740	oshi	王子	2.16
740	oshi	野生	0.8
740	oshi	Super	1.4
740	oshi	荷兰	5.12
740	oshi	情歌	1.08
740	oshi	魔笛	0.16
740	oshi	国际	6.92
740	oshi	乐章	0.44
740	ozhi	芭蕾舞	0.12
740	oshi	芭蕾舞	12.72
740	ozhi	灰太狼	0.12
740	oshi	灰太狼	2.44
740	oshi	天下	22.24
740	ozhi	减压	0.16
740	oshi	减压	4.12
740	oshi	年度	0.48
740	oshi	VS	22.64
740	ozhi	感恩	1.92
740	oshi	感恩	6.8
740	oshi	法兰西	0.6
740	ozhi	汽车	0.84
740	oshi	汽车	285.36
740	oshi	Cooper	0.24
740	oshi	里昂	0.0
740	oshi	上海	13.16
740	oshi	深水	1.08
740	oshi	Avril	0.96
740	oshi	明星	4.24
740	ozhi	情绪	0.36
740	oshi	情绪	1.6
740	oshi	郊外	0.0
740	ozhi	mini	0.24
740	oshi	mini	642.04
740	oshi	乐队	3.84
740	oshi	男童	25.6
740	oshi	格林童话	2.04
740	oshi	法式	6.68
740	oshi	加州	1.48
740	oshi	午后	4.48
740	oshi	人生	17.28
740	oshi	狂欢	15.8
740	oshi	放假	0.32
740	oshi	巴黎	146.2
740	oshi	成龙	0.0
740	oshi	阿拉丁	0.28
740	ozhi	沙龙	0.12
740	oshi	沙龙	0.68
740	ozhi	组合	1.52
740	oshi	组合	258.12
740	oshi	骆驼	0.68
740	oshi	行板	1.08
740	ozhi	幸福	0.48
740	oshi	幸福	50.12
740	oshi	勿扰	0.8
740	oshi	兄弟	9.28
740	oshi	Anna	0.0
740	oshi	出发	0.0
740	oshi	LIVE	17.88
740	oshi	贝斯	1.36
740	ozhi	国内	0.16
740	oshi	国内	8.28
740	ozhi	培养	0.72
740	ozhi	顽皮	0.12
740	oshi	顽皮	2.04
740	oshi	海底	10.0
740	oshi	魔方	13.68
740	ozhi	派对	0.36
740	oshi	派对	27.96
740	oshi	GALAXY	252.4
740	oshi	雏菊	33.16
740	oshi	婚礼	16.8
740	oshi	莫奈	23.72
740	oshi	PANDA	38.2
740	oshi	背后	11.64
740	ozhi	英文	0.56
740	oshi	英文	7.72
740	oshi	王座	0.16
740	oshi	幽默	0.08
740	oshi	女朋友	2.92
740	ozhi	玩偶	0.4
740	oshi	玩偶	3.88
740	oshi	朗达	0.36
740	oshi	汉斯	0.04
740	oshi	只能	0.72
740	oshi	著名	0.0
740	oshi	指挥	0.36
740	oshi	蚂蚁	28.16
740	ozhi	兔子	1.4
740	oshi	兔子	144.92
740	oshi	胜利	35.08
740	ozhi	贺岁	0.12
740	oshi	贺岁	0.44
740	oshi	来临	0.0
740	oshi	life	26.84
740	ozhi	预售	5.32
740	oshi	预售	28.44
740	oshi	惊喜	3.8
740	oshi	小姐	1.04
740	oshi	西安	0.24
740	ozhi	寻找	1.8
740	oshi	寻找	0.44
740	ozhi	红色	12.04
740	oshi	红色	1314.32
740	oshi	灵魂	0.4
740	oshi	爱丁堡	0.32
740	oshi	爷们儿	0.36
740	oshi	in	6.72
740	ozhi	赛尔	0.12
740	oshi	赛尔	4.16
740	ozhi	快乐	0.8
740	oshi	快乐	94.88
740	oshi	献礼	1.64
740	oshi	太阳	18.2
740	ozhi	童趣	0.12
740	oshi	童趣	10.16
740	ozhi	联合	0.6
740	oshi	联合	14.2
740	oshi	特殊	12.04
740	oshi	米兰	3.0
740	oshi	欧亚	0.24
740	ozhi	大象	0.12
740	oshi	大象	27.64
740	oshi	美丽	191.8
740	oshi	the	1.6
740	ozhi	跳舞	11.44
740	oshi	跳舞	1.44
740	oshi	嘉年华	39.24
740	ozhi	美人鱼	0.12
740	oshi	美人鱼	4.84
740	oshi	外国	0.36
740	oshi	Eternity	0.0
740	oshi	天籁	1.96
740	oshi	之前	0.84
740	oshi	地方	1.56
740	ozhi	小孩	3.36
740	oshi	小孩	27.32
740	oshi	胭脂	4.4
740	oshi	打开	0.56
740	oshi	成人	112.84
740	oshi	关系	0.12
740	oshi	火爆	1.92
740	oshi	激情	43.04
740	oshi	实验	2.64
740	oshi	情境	0.32
740	oshi	陈奕	0.56
740	oshi	总动员	5.08
740	oshi	龙凤呈祥	0.6
740	ozhi	生日快乐	0.0
740	oshi	生日快乐	1.12
740	oshi	恒大	0.24
740	oshi	五月	0.36
740	ozhi	时光	1.08
740	oshi	时光	26.8
740	ozhi	for	0.88
740	oshi	for	33.8
740	oshi	网球	0.72
740	ozhi	莲花	0.08
740	oshi	莲花	12.32
740	oshi	牵手	4.36
740	oshi	广场	0.8
740	oshi	深情	0.88
740	ozhi	经典	5.96
740	oshi	经典	457.12
740	oshi	和平	2.76
740	oshi	美女	22.48
740	oshi	重庆	0.64
740	ozhi	大屏幕	0.12
740	oshi	大屏幕	27.12
740	oshi	苏格兰	7.68
740	ozhi	人偶	0.0
740	oshi	人偶	0.24
740	oshi	真爱	5.76
740	oshi	重点	0.72
740	ozhi	熊出没	0.32
740	oshi	熊出没	11.64
740	ozhi	梦幻	0.24
740	oshi	梦幻	51.4
740	oshi	功夫	4.4
740	oshi	梦工场	0.0
740	ozhi	潮流	2.8
740	oshi	潮流	70.48
740	oshi	土耳其	0.6
740	oshi	心中	0.52
740	oshi	铃铛	0.0
740	ozhi	魔法	0.36
740	oshi	魔法	38.96
740	oshi	原版	3.36
740	oshi	繁花似锦	3.44
740	ozhi	绅士	0.52
740	oshi	绅士	76.76
740	oshi	星期二	0.24
740	oshi	梁祝	0.24
740	ozhi	旗舰版	0.0
740	oshi	旗舰版	6.28
740	ozhi	授权	0.36
740	oshi	授权	8.52
740	ozhi	小熊	0.96
740	oshi	小熊	212.8
740	oshi	极限	4.84
740	ozhi	精英	0.72
740	oshi	精英	21.48
740	oshi	温馨	15.08
740	oshi	聪明	5.24
740	oshi	SHOW	0.24
740	oshi	Life	60.12
740	oshi	世界	65.56
740	oshi	杰西	2.72
740	ozhi	情人节	0.24
740	oshi	情人节	220.72
740	oshi	胡桃	10.32
740	ozhi	时尚	20.88
740	oshi	时尚	1513.24
740	ozhi	旋转	0.8
740	oshi	旋转	411.0
740	oshi	炫幻	0.24
740	oshi	美妙	1.88
740	oshi	专场	2.16
740	oshi	菊花	6.52
740	oshi	回来	0.6
740	oshi	韩版	369.44
740	oshi	最好	1.2
740	oshi	朵拉	0.56
740	oshi	比利时	2.48
740	oshi	呈现	0.0
740	oshi	别离	0.0
740	oshi	感恩回馈	0.16
740	oshi	爱丽丝	3.68
740	oshi	殷桃	0.72
740	oshi	仲夏	0.56
740	oshi	简爱	4.0
740	oshi	洛克	181.56
740	oshi	桃花	4.96
740	oshi	肚子	3.84
740	oshi	暗恋	0.12
740	oshi	Red	11.4
740	oshi	SO	0.24
740	ozhi	皇冠	0.12
740	oshi	皇冠	187.88
740	oshi	潮人	5.84
740	oshi	丹麦	7.76
740	ozhi	My	3.36
740	oshi	My	0.96
740	ozhi	个人	1.84
740	oshi	个人	13.96
740	oshi	百老汇	0.96
740	oshi	姑娘	3.0
740	oshi	乡村	14.48
740	oshi	霓裳	0.12
740	oshi	Dear	0.24
740	oshi	香港	11.68
740	ozhi	银行	4.12
